,banglawords
0,বহন অন
1,বহন
2,গাজর
3,বাহক
4,বহন
5,গাড়ী - পুল
6,গাড়ী পুল
7,কার্পেটে আবরণ
8,carpeted
9,গালিচা
10,তক্ষণ
11,সূত্রধর
12,দোষারোপ করা
13,carousel
14,মদ্যপানোত্সব
15,সংকীর্তন
16,মাংসাশী
17,মাংসাশী
18,কার্নিভালের
19,গোলাপী পাতলবর্ণ
20,জাগতিক
21,হত্যাকাণ্ড
22,carjacking
23,carjacker
24,যত্নশীল
25,ব্যঙ্গচিত্র
26,Caribou
27,ক্যারিবিয়ান
28,জাহাজী মাল
29,তত্ত্বাবধায়ক
30,আদর
31,অসতর্কতা
32,অগোছালভাবে
33,অসাবধান
34,সাবধানতার
35,সাবধানে
36,সাবধান
37,ভাবনাহীন
38,পেশা
39,ক্যারীন
40,যত্ন
41,কার্ড
42,হৃদ্বিজ্ঞান
43,অঙ্কবাচক সংখ্যা
44,অঙ্কবাচক
45,পশমী গেঁজী
46,কার্ডিয়াক অ্যারেস্ট
47,কার্ডিয়াক
48,কার্ড ক্যাটালগ
49,পিচবোর্ড
50,কার্ড
51,দেহমাত্র
52,অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র
53,কারবন্ কাগজ
54,জ্বলন্ত অঙ্গার হইতে নির্গত বিষাক্ত গ্যাসবিশেষ
55,কার্বন ডাই অক্সাইড
56,কারবন্ কাগজ দ্বারা গৃহীত প্রতিলিপি
57,কার্বনেটেড
58,কারবন
59,কার্বোহাইড্রেট
60,ভ্রমণকারী মরূযাত্রিদল
61,ক্যারেট
62,আঠাল মিঠাই
63,গাড়ী
64,গ্রেপ্তার
65,বন্দিকারী
66,বন্দিদশা
67,বন্দী
68,চিত্তাকর্ষক
69,মাত করা
70,ক্যাপশন
71,অধিনায়ক
72,ক্যাপসুল
73,উলটান
74,মকর
75,খেয়ালখুশিমত
76,খামখেয়ালী
77,আবদার
78,কাপাচিনো
79,আত্মসমর্পণ
80,আত্মসমর্পণ করা
81,ব্যবস্থাপরিষদ্ভবন
82,ব্যবস্থাপরিষদ্ভবন
83,মৃতু্যদণ্ড
84,বড় হাতের অক্ষর
85,নিজ সুবিধার্থে প্রয়োগ করা
86,নিজ সুবিধার্থে প্রয়োগ
87,পুঁজিবাদী
88,পুঁজিবাদ
89,রাজধানী
90,কৈশিক
91,লম্ফ
92,অন্তরীপ
93,ধারণক্ষমতা
94,সক্ষম
95,সামর্থ্য
96,টুপি
97,গভীর খাদ
98,পট
99,ক্যানভাস
100,ক্যানটোনীজ
101,স্বচ্ছন্দধাবন
102,সেনানিবাসের দোকান
103,বদমেজাজী
104,ফুটি
105,নারা
106,শামিয়ানা
107,canopied
108,শাল্তি
109,মিতব্যয়ী
110,নারা
111,গোলাগুলি
112,কামান
113,নরমাংসভক্ষণপ্রথা
114,রাক্ষস
115,Cannery
116,রেডিমেড
117,ভাং
118,কীট কালশিটে
119,কীট
120,টিন
121,কুকুরের
122,বেত
123,ক্যান্ডি বার
124,মিছরি
125,অকপটতা
126,পিলসুজ
127,সন্ধ্যাকাল
128,বাতি
129,অকপটে
130,প্রার্থী
131,প্রার্থী
132,স্পষ্টবক্তা
133,ক্যান্সার
134,কর্কটরাশি
135,বাতিল
136,বাতিল
137,হলদে
138,খাল
139,কানাডিয়ান
140,যা করতে পারেন
141,বিদ্যায়তন
142,ক্যাম্পিং সাইট
143,ক্যাম্পিং
144,ক্যাম্পের স্থান
145,ক্যাম্পার
146,প্রবীণ সৈনিক
147,প্রচারাভিযান
148,শিবির
149,ছদ্মবেশ
150,ক্যামেরা মানুষ
151,আলোকচিত্র-গ্রহণকারী
152,ক্যামেরা
153,খোদাই-করা মূতিযুক্ত মণিবিশেষ
154,উট
155,আসেন
156,camcorder
157,সহকর্মীদের মধ্যে অন্তরঙ্গতা ত্ত পরম্পরের প্রতি আস্থা
158,বাছুরের
159,ক্যালোরি
160,ধৈর্যশীলতা
161,শান্তভাবে
162,শান্ত
163,জামুড়া
164,নির্মমতা
165,অনুভূতিহীন
166,কল ইন শো
167,জীবিকা
168,লিপিবিদ্যা
169,কল মেয়ে
170,আহ্বানকারী
171,কল
172,বস্ত্রবিশেষ
173,ক্রমাঙ্কন
174,শক্তির পরিমাপ করা
175,ধীশক্তি
176,বাছুর
177,ক্যালেন্ডার বছর
178,ক্যালেন্ডার
179,পাথুরি
180,ক্যালকুলেটর
181,হিসাব
182,গণক
183,গণিত
184,গণনা করা
185,ক্যালসিয়াম
186,প্রমাদ
187,পিষ্টক
188,চুমরান
189,চক্রান্তে লিপ্ত
190,সুচতুর
191,খাঁচা
192,ক্যাফিন
193,ক্যাফেটেরিয়া
194,ক্যাফে
195,পদালী
196,কনিষ্ঠ পুত্র
197,সুরের মুর্ছনা
198,মৃতদেহ
199,ফণীমনসা
200,কক্কক্
201,ছাপ
202,ক্যাশে
203,রন্ধনশালা
204,ক্যাবল টিভি
205,কেব্লকার
206,তারের
207,মন্ত্রিসভা
208,মন্ত্রিসভা
209,কেবিন
210,গাড়োয়ান
211,বাঁধাকপি
212,সরাই
213,ঘোড়ার গাড়ি
214,অক্ষ
215,অক্ষ
216,স্বয়ংপ্রমাণিত
217,স্বত: সিদ্ধ সত্য
218,অক্ষ
219,কুঠার
220,টেরা
221,AWOL
222,awoken
223,শামিয়ানা
224,জবুথবুভাব
225,বিশ্রী
226,অল্প সময়ের জন্য
227,অতিশয়
228,ভয়াবহ
229,ভয়ঙ্কর
230,আতঙ্ককর
231,সম্ভ্রম
232,দূরে
233,ভাসা
234,সচেতনতা
235,সচেতন
236,পুরস্কার
237,জাগরণ
238,জাগ্রত করা
239,জাগ্রত
240,প্রতীক্ষা করা
241,হুম
242,স্বীকৃত
243,স্বীকার
244,সত্য বলিয়া ঘোষণা করা
245,পরিহার
246,পরিহার্য
247,এড়াতে
248,আভাকাডো
249,লোভার্তভাবে
250,ক্ষুধিত
251,বিমানচালক
252,বিমানচালনা
253,প্রতিহত করা
254,অসাধ
255,বিমুখ
256,গড়
257,বীথিকা
258,উসুল করা
259,Ave.
260,ধনলোভী
261,অর্থলিপ্সা
